License report for tunnel-client release artifact flavor: runtime-cloudflared
Platforms: windows/amd64
Tests included: false
License summary (all licenses currently in use; additions require legal approval and #release-approval sign-off):
  Apache-2.0
  BSD-2-Clause
  BSD-3-Clause
  MIT

DEPENDENCY|TYPE|VERSION|LICENSES|LICENSE_FILE|PLATFORMS
github.com/munnerz/goautoneg|transitive|v0.0.0-20191010083416-a7dc8b61c822|BSD-3-Clause|github.com/munnerz/goautoneg@v0.0.0-20191010083416-a7dc8b61c822/LICENSE|windows/amd64
github.com/panjf2000/ants/v2|direct|v2.11.3|MIT|github.com/panjf2000/ants/v2@v2.11.3/LICENSE|windows/amd64
github.com/pkg/errors|direct|v0.9.1|BSD-2-Clause|github.com/pkg/errors@v0.9.1/LICENSE|windows/amd64
github.com/prometheus/client_golang/internal/github.com/golang/gddo/httputil|transitive|v1.22.0|BSD-3-Clause|github.com/prometheus/client_golang@v1.22.0/internal/github.com/golang/gddo/LICENSE|windows/amd64
github.com/prometheus/client_golang/internal/github.com/golang/gddo/httputil|transitive|v1.23.2|BSD-3-Clause|github.com/prometheus/client_golang@v1.23.2/internal/github.com/golang/gddo/LICENSE|windows/amd64
github.com/prometheus/client_golang/prometheus|transitive|v1.22.0|Apache-2.0|github.com/prometheus/client_golang@v1.22.0/LICENSE|windows/amd64
github.com/prometheus/client_golang/prometheus|transitive|v1.23.2|Apache-2.0|github.com/prometheus/client_golang@v1.23.2/LICENSE|windows/amd64
github.com/prometheus/client_model/go|transitive|v0.6.2|Apache-2.0|github.com/prometheus/client_model@v0.6.2/LICENSE|windows/amd64
github.com/prometheus/common|transitive|v0.64.0|Apache-2.0|github.com/prometheus/common@v0.64.0/LICENSE|windows/amd64
github.com/prometheus/common|transitive|v0.66.1|Apache-2.0|github.com/prometheus/common@v0.66.1/LICENSE|windows/amd64
github.com/prometheus/otlptranslator|transitive|v0.0.2|Apache-2.0|github.com/prometheus/otlptranslator@v0.0.2/LICENSE|windows/amd64
github.com/quic-go/quic-go|direct|v0.45.1-0.20260529212404-a9fddf436fc4|MIT|github.com/chungthuang/quic-go@v0.45.1-0.20260529212404-a9fddf436fc4/LICENSE|windows/amd64
github.com/rs/zerolog|direct|v1.20.0|MIT|github.com/rs/zerolog@v1.20.0/LICENSE|windows/amd64
github.com/russross/blackfriday/v2|transitive|v2.1.0|BSD-2-Clause|github.com/russross/blackfriday/v2@v2.1.0/LICENSE.txt|windows/amd64
github.com/segmentio/asm|transitive|v1.1.3|MIT|github.com/segmentio/asm@v1.1.3/LICENSE|windows/amd64
github.com/segmentio/encoding|transitive|v0.5.4|MIT|github.com/segmentio/encoding@v0.5.4/LICENSE|windows/amd64
github.com/shirou/gopsutil/v4|direct|v4.26.3|BSD-3-Clause|github.com/shirou/gopsutil/v4@v4.26.3/LICENSE|windows/amd64
github.com/spf13/cobra|direct|v1.9.1|Apache-2.0|github.com/spf13/cobra@v1.9.1/LICENSE.txt|windows/amd64
github.com/spf13/pflag|direct|v1.0.6|BSD-3-Clause|github.com/spf13/pflag@v1.0.6/LICENSE|windows/amd64
github.com/urfave/cli/v2|direct|v2.3.1-0.20210324024421-b6ea8234fe3d|MIT|github.com/ipostelnik/cli/v2@v2.3.1-0.20210324024421-b6ea8234fe3d/LICENSE|windows/amd64
github.com/wk8/go-ordered-map/v2|transitive|v2.1.8|Apache-2.0|github.com/wk8/go-ordered-map/v2@v2.1.8/LICENSE|windows/amd64
github.com/yosida95/uritemplate/v3|transitive|v3.0.2|BSD-3-Clause|github.com/yosida95/uritemplate/v3@v3.0.2/LICENSE|windows/amd64
github.com/yusufpapurcu/wmi|transitive|v1.2.4|MIT|github.com/yusufpapurcu/wmi@v1.2.4/LICENSE|windows/amd64
go.opentelemetry.io/auto/sdk|transitive|v1.2.1|Apache-2.0|go.opentelemetry.io/auto/sdk@v1.2.1/LICENSE|windows/amd64
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp|direct|v0.63.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp@v0.63.0/LICENSE|windows/amd64
go.opentelemetry.io/contrib/propagators/jaeger|transitive|v0.22.0|Apache-2.0|go.opentelemetry.io/contrib/propagators@v0.22.0/LICENSE|windows/amd64
go.opentelemetry.io/otel|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel@v1.41.0/LICENSE|windows/amd64
go.opentelemetry.io/otel|direct|v1.44.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel@v1.44.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/exporters/otlp/otlptrace|direct|v1.43.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/exporters/otlp/otlptrace@v1.43.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/exporters/prometheus|direct|v0.60.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/exporters/prometheus@v0.60.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/metric|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/metric@v1.41.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/metric|transitive|v1.44.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/metric@v1.44.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/sdk|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/sdk@v1.41.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/sdk|direct|v1.44.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/sdk@v1.44.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/sdk/metric|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/sdk/metric@v1.41.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/trace|direct|v1.44.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/trace@v1.44.0/LICENSE|windows/amd64
go.opentelemetry.io/otel/trace|transitive|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/trace@v1.41.0/LICENSE|windows/amd64
go.opentelemetry.io/proto/otlp|direct|v1.10.0|Apache-2.0|go.opentelemetry.io/proto/otlp@v1.10.0/LICENSE|windows/amd64
go.uber.org/automaxprocs|direct|v1.6.0|MIT|go.uber.org/automaxprocs@v1.6.0/LICENSE|windows/amd64
go.uber.org/dig|transitive|v1.19.0|MIT|go.uber.org/dig@v1.19.0/LICENSE|windows/amd64
go.uber.org/fx|direct|v1.23.0|MIT|go.uber.org/fx@v1.23.0/LICENSE|windows/amd64
go.uber.org/multierr|transitive|v1.11.0|MIT|go.uber.org/multierr@v1.11.0/LICENSE.txt|windows/amd64
go.uber.org/zap|transitive|v1.27.0|MIT|go.uber.org/zap@v1.27.0/LICENSE|windows/amd64
go.yaml.in/yaml/v2|transitive|v2.4.2|Apache-2.0|go.yaml.in/yaml/v2@v2.4.2/LICENSE|windows/amd64
golang.org/x/crypto|direct|v0.53.0|BSD-3-Clause|golang.org/x/crypto@v0.53.0/LICENSE|windows/amd64
golang.org/x/net|direct|v0.56.0|BSD-3-Clause|golang.org/x/net@v0.56.0/LICENSE|windows/amd64
golang.org/x/net/publicsuffix|transitive|v0.43.0|BSD-3-Clause|golang.org/x/net@v0.43.0/LICENSE|windows/amd64
golang.org/x/oauth2|transitive|v0.35.0|BSD-3-Clause|golang.org/x/oauth2@v0.35.0/LICENSE|windows/amd64
golang.org/x/oauth2|transitive|v0.36.0|BSD-3-Clause|golang.org/x/oauth2@v0.36.0/LICENSE|windows/amd64
golang.org/x/sync|direct|v0.20.0|BSD-3-Clause|golang.org/x/sync@v0.20.0/LICENSE|windows/amd64
golang.org/x/sync/errgroup|transitive|v0.22.0|BSD-3-Clause|golang.org/x/sync@v0.22.0/LICENSE|windows/amd64
golang.org/x/sys|direct|v0.41.0|BSD-3-Clause|golang.org/x/sys@v0.41.0/LICENSE|windows/amd64
golang.org/x/sys|direct|v0.46.0|BSD-3-Clause|golang.org/x/sys@v0.46.0/LICENSE|windows/amd64
golang.org/x/term|direct|v0.44.0|BSD-3-Clause|golang.org/x/term@v0.44.0/LICENSE|windows/amd64
golang.org/x/text|transitive|v0.40.0|BSD-3-Clause|golang.org/x/text@v0.40.0/LICENSE|windows/amd64
