,id,left,top,right,bottom,row_index,col_index,Tract_ID_c,Tract_name,Group_name,Name_count,Name_other,Includes_c,Includes2_,Type_count,Subtype_co,SiteStatus,Latitude_c,Longitude_,Country_co,State_Prov,Age_range_,Comm_major,Tonnage_Mt,Cu_pct_cou,Co_pct_cou,Con_Cu_t_c,Comments_c,HostRocks_,Unit_count,Footwall_c,Hangwall_c,Mineralogy,Ref_Short_,Tctnic_set,Complex_co,deposit_ct,Name,n,distance_to_deposit,feature_x,feature_y,nearest_x,nearest_y,Tract_ID,n_2,distance_to_tract_boundary,feature_x_,feature_y_,nearest_x_,nearest_y_,centroid_x,centroid_y,deposit_present,log_distance_to_deposit
0,4825.0,525140.0118,8507299.9807,530140.0118,8502299.9807,71.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,92229.94998540536,530140.0118,8502687.877519086,593005.8319927433,8570173.078310104,5.0,1.0,0.0,529831.2004911334,8502634.69551633,529831.2004911334,8502634.69551633,529911.713578,8502459.845556,0,11.432051036354592
1,4826.0,525140.0118,8502299.9807,530140.0118,8497299.9807,72.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,92514.15420192288,530140.0118,8502299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,528854.6002451389,8497419.042861195,528854.6002451389,8497419.042861195,529382.796539,8499678.943604,0,11.435127739291953
2,4827.0,525140.0118,8497299.9807,530140.0118,8492299.9807,73.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,96242.4007587,530140.0118,8497299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,530020.9501796396,8495184.072629353,530020.9501796396,8495184.072629353,529694.510138,8496492.718724,0,11.47463568625347
3,4922.0,530140.0118,8507299.9807,535140.0118,8502299.9807,71.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,88333.10003385809,535140.0118,8503432.660158787,593005.8319927433,8570173.078310104,5.0,1.0,0.0,533326.530061458,8503236.644413626,533326.530061458,8503236.644413626,533039.846413,8502729.511459,0,11.388881495891164
4,4923.0,530140.0118,8502299.9807,535140.0118,8497299.9807,72.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,89191.98689215153,535140.0118,8502299.9807,593005.8319927433,8570173.078310104,5.0,1.0,382.26954795065814,530140.0118,8502299.9807,530075.1342143281,8502676.704612391,532640.0118,8499799.9807,0,11.39855769319191
5,4924.0,530140.0118,8497299.9807,535140.0118,8492299.9807,73.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,93053.43358453133,535140.0118,8497299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,532167.7422578604,8493583.274479572,532167.7422578604,8493583.274479572,532953.06764,8495196.542239,0,11.440939908270401
6,4925.0,530140.0118,8492299.9807,535140.0118,8487299.9807,74.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,97018.92845198729,535140.0118,8492299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,534507.6004877401,8491694.313978918,534507.6004877401,8491694.313978918,534668.517442,8491950.857927,0,11.48267168434261
7,5019.0,535140.0118,8507299.9807,540140.0118,8502299.9807,71.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,84769.53671813446,540140.0118,8503907.858090477,593005.8319927433,8570173.078310104,5.0,1.0,0.0,536756.4699623404,8503607.380005412,536756.4699623404,8503607.380005412,537781.15438,8502997.006596,0,11.347703317045596
8,5020.0,535140.0118,8502299.9807,540140.0118,8497299.9807,72.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,86032.27489635677,540140.0118,8502299.9807,593005.8319927433,8570173.078310104,5.0,1.0,1126.1203113806807,535140.0118,8502299.9807,535018.9964865366,8503419.579846842,537640.0118,8499799.9807,0,11.362489417801907
9,5021.0,535140.0118,8497299.9807,540140.0118,8492299.9807,73.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,90029.34688168822,540140.0118,8497299.9807,593005.8319927433,8570173.078310104,5.0,1.0,852.5073123973933,535140.0118,8492299.9807,534675.2869429555,8491585.27829694,537640.0118,8494799.9807,0,11.40790208005176
